"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3","0.1uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C2","2.2uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","47uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C5,C7","10uF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C6","22uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","D_Schottky","~","Diode_SMD:D_SMB","1",""
"D2,D3,D4","LED","~","LED_SMD:LED_0603_1608Metric","3",""
"F1","10A","~","FUSE_3557:FUSE_3557-2","1",""
"J1","Power_IN","~","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1",""
"J2","Power_OUT","~","Connector_AMASS:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal","1",""
"L1","3.3uH","~","Library:SRP1245A","1",""
"R1,R2,R4","10k","~","Resistor_SMD:R_0805_2012Metric","3",""
"R3","10R","~","Resistor_SMD:R_0805_2012Metric","1",""
"R5","100k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R6","3k3","~","Resistor_SMD:R_0805_2012Metric","1",""
"R7","47k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R8,R10","1k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R9","470R","~","Resistor_SMD:R_0805_2012Metric","1",""
"U1","BD9F800MUX-ZE2","BD9F800MUX-ZE2","VQFN11_ROM:BD9F800MUX","1",""
